Aardvark,Albatross,Alligator,Alpaca,Anteater,Antelope,Armadillo,Ass/donkey,Badger,Bat,Bear,Beaver,Bison,Buffalo,Camel,Caribou,Cat,Cheetah,Chicken,Chimpanzee,Coyote,Crab,Crocodile,Crow,Deer,dog,Dolphin,Dove,Dragonfly,Duck,Elephant,Elk,Ferret,Fox,Gazelle,Gerbil,Giraffe,Gnu,Goat,Goose,Guinea fowl,Guinea pig,Gull,Hamster,Hare,Hawk,Hedgehog,Heron,Hippopotamus,Hornet,horse,Hyena,Ibex,Impala,Jay,Kangaroo,Koala,Kudu,Lark,Leopard,Lion,Llama,Magpie,Mammoth,Manatee,Mink,Mole,Moose,Mouse,Nightingale,Ocelot,Okapi,Opossum,Ostrich,Otter,Parrot,Peafowl,Pheasant,pig,pigeon,Polar bear,Porcupine,Porpoise,Prairie dog,Pug,Quail,Quelea,Rabbit,Raccoon,Raven,Reindeer (caribou),Rhinoceros,Sea lion,Seahorse,Seal,Shep,Shrew,Skunk,Sloth,Squirrel,Swan,Tapir,Tiger,Wallaby,Walrus,Weasel,Whale,Wolf,Wolverine,Wombat,Yak,Zebra,Raven 
cub,chick,hatchling,cria,pup,calf,pup,foal,cub,pup,cub,kit,calf,calf,calf,calf,kitten,cub,chick,infant,pup,zoea,hatchling,chick,fawn,puppy,calf,chick,nymph,duckling,calf,calf,kit,cub,calf,pup,calf,calf,kid,gosling,keet,pup,chick,pup,leveret,eyas,hoglet,chick,calf,larvae,foal,cub,kid,calf,chick,joey,joey,calf,chick,cub,cub,cria,chick,calf,calf,cub,pup,calf,kitten,chick,kitten,calf,joey,hatchling,pup,chick,chick,chick,piglet,squab,cub,pup,calf,pup,pup,chick,chick,bunny,cub,chick,calf,calf,pup,seafoal,pup,lamb,shrewlet,kit,kitten,pup,cygnet,calf,cub,joey,calf,pup,calf,pup,kit,joey,calf,foal,chick 
